Category,Attribute,Score_Range,Description_CN
技术属性,传球 (Passing),60-68 (业余初学),"传球非常随意，经常失误，缺乏准度和力量概念。"
技术属性,传球 (Passing),69-76 (业余入门),"能完成近距离简单传球，但长传或有压迫下的传球质量不高，失误较多。"
技术属性,传球 (Passing),77-84 (业余平均),"具备一定的传球准度，能完成大部分中短距离传球，偶尔有不错的直塞或转移。"
技术属性,传球 (Passing),85-92 (业余优秀),"传球准确，思路清晰，能送出有威胁的传球，是球队组织核心的潜力。"
技术属性,传球 (Passing),93-99 (业余顶尖),"传球大师级别（业余），精准度和创造力俱佳，能用传球撕开对方防线。"
技术属性,停球 (First Touch),60-68 (业余初学),"停球经常停大或停丢，难以控制，球离身体远。"
技术属性,停球 (First Touch),69-76 (业余入门),"能勉强停住一般来球，但处理不够细腻，为下一步动作衔接带来困难。"
技术属性,停球 (First Touch),77-84 (业余平均),"多数情况下能将球稳妥停在脚下，为下一步动作做好准备。"
技术属性,停球 (First Touch),85-92 (业余优秀),"停球技术娴熟，能舒服地将各种来球控制好，并迅速衔接下一个动作。"
技术属性,停球 (First Touch),93-99 (业余顶尖),"停球如吸盘（业余），在对抗下也能稳定控球，展现极佳球感。"
技术属性,盘带 (Dribbling),60-68 (业余初学),"几乎无法带球前进，容易被断，控球生疏。"
技术属性,盘带 (Dribbling),69-76 (业余入门),"能短距离带球，但速度慢，变化少，容易被有经验的防守者断下。"
技术属性,盘带 (Dribbling),77-84 (业余平均),"具备一定的带球能力，偶尔可以完成过人，但不够稳定。"
技术属性,盘带 (Dribbling),85-92 (业余优秀),"带球技术较好，能利用速度或技巧摆脱防守，对对方防线造成威胁。"
技术属性,盘带 (Dribbling),93-99 (业余顶尖),"盘带高手（业余），人球结合出色，能连续突破，是球队进攻利器。"
技术属性,射门 (Finishing),60-68 (业余初学),"射门毫无准星，经常打飞或软弱无力，把握不住机会。"
技术属性,射门 (Finishing),69-76 (业余入门),"偶尔能射正，但多数射门质量不高，缺乏力量和角度。"
技术属性,射门 (Finishing),77-84 (业余平均),"在熟悉的位置能完成有威胁的射门，具备一定的进球能力。"
技术属性,射门 (Finishing),85-92 (业余优秀),"射术精湛（业余），冷静且果断，把握机会能力强，是球队的稳定得分点。"
技术属性,射门 (Finishing),93-99 (业余顶尖),"天生射手（业余），各种机会都能转化为进球，射门方式多样且高效。"
技术属性,头球 (Heading),60-68 (业余初学),"害怕争顶，起跳时机和顶球部位掌握差，几乎无法准确顶到球。"
技术属性,头球 (Heading),69-76 (业余入门),"能参与争顶，但成功率不高，头球力量和方向控制一般。"
技术属性,头球 (Heading),77-84 (业余平均),"具备一定的头球能力，攻防两端都能起到一定作用，能顶到目标区域。"
技术属性,头球 (Heading),85-92 (业余优秀),"头球出色（业余），争顶能力强，无论是进攻还是防守都能贡献关键头球。"
技术属性,头球 (Heading),93-99 (业余顶尖),"空霸级别（业余），争顶几乎不败，头球攻门和解围都极具威胁和统治力。"
技术属性,抢断 (Tackling),60-68 (业余初学),"防守意识差，出脚鲁莽，容易犯规或被轻易晃过。"
技术属性,抢断 (Tackling),69-76 (业余入门),"能尝试抢断，但时机和方式掌握不佳，成功率低，容易失位。"
技术属性,抢断 (Tackling),77-84 (业余平均),"具备一定的抢断能力，能在一对一防守中完成抢断，但不够干净利落。"
技术属性,抢断 (Tackling),85-92 (业余优秀),"抢断凶狠且有效（业余），判断准确，下脚干净，是可靠的防守屏障。"
技术属性,抢断 (Tackling),93-99 (业余顶尖),"抢断大师（业余），防守滴水不漏，预判和技术俱佳，让对方前锋头疼。"
技术属性,远射 (Long Shots),60-68 (业余初学),"几乎没有远射尝试，或者尝试也毫无威胁，纯粹浪费球权。"
技术属性,远射 (Long Shots),69-76 (业余入门),"偶尔尝试远射，但通常缺乏力量和准度，很难命中目标。"
技术属性,远射 (Long Shots),77-84 (业余平均),"具备一定的远射能力，偶尔能打出有威胁的射门，让门将不敢怠慢。"
技术属性,远射 (Long Shots),85-92 (业余优秀),"远射功底扎实（业余），能稳定地从禁区外发炮，是球队打不开局面时的有效手段。"
技术属性,远射 (Long Shots),93-99 (业余顶尖),"远射重炮手（业余），射程远，力量足，精度高，经常打入精彩世界波。"
技术属性,传中 (Crossing),60-68 (业余初学),"传中质量极差，落点毫无准星，无法找到队友。"
技术属性,传中 (Crossing),69-76 (业余入门),"能将球传到禁区附近，但落点和弧度控制不佳，队友难以抢点。"
技术属性,传中 (Crossing),77-84 (业余平均),"具备一定的传中能力，能将球传到大致区域，偶尔能制造威胁。"
技术属性,传中 (Crossing),85-92 (业余优秀),"传中精准（业余），球速和弧线俱佳，能为队友送出舒服的助攻机会。"
技术属性,传中 (Crossing),93-99 (业余顶尖),"传中大师（业余），如同精确制导，总能找到禁区内的队友，助攻能力极强。"
技术属性,定位球 (Set Pieces),60-68 (业余初学),"主罚定位球毫无章法，无论是传球还是射门都缺乏准度。"
技术属性,定位球 (Set Pieces),69-76 (业余入门),"能将定位球开到禁区，但质量一般，直接得分或助攻能力弱。"
技术属性,定位球 (Set Pieces),77-84 (业余平均),"具备一定的定位球主罚能力，能开出有一定威胁的角球或任意球。"
技术属性,定位球 (Set Pieces),85-92 (业余优秀),"定位球专家（业余），主罚的任意球或角球常能制造混乱或直接得分/助攻。"
技术属性,定位球 (Set Pieces),93-99 (业余顶尖),"定位球大师（业余），脚法出众，是球队重要的得分和助攻手段，对方门将的噩梦。"
技术属性,技术综合 (Technique),60-68 (业余初学),"球感生疏，动作僵硬，基本功非常薄弱。"
技术属性,技术综合 (Technique),69-76 (业余入门),"具备一些基础技术动作，但不够协调流畅，处理复杂球能力差。"
技术属性,技术综合 (Technique),77-84 (业余平均),"技术动作规范，球感尚可，能完成大部分业余比赛所需的技术动作。"
技术属性,技术综合 (Technique),85-92 (业余优秀),"技术功底扎实（业余），球感出色，动作协调舒展，能做出一些有难度的技术动作。"
技术属性,技术综合 (Technique),93-99 (业余顶尖),"技术细腻华丽（业余），人球结合好，观赏性和实用性兼备，天赋异禀。"
精神属性,积极性 (Aggression/Work Rate),60-68 (业余初学),"场上懒散，不愿跑动和拼抢，缺乏比赛投入。"
精神属性,积极性 (Aggression/Work Rate),69-76 (业余入门),"跑动和拼抢一般，时而积极时而松懈，投入度不稳定。"
精神属性,积极性 (Aggression/Work Rate),77-84 (业余平均),"具备正常的比赛投入和跑动拼抢意愿，能完成自己的职责。"
精神属性,积极性 (Aggression/Work Rate),85-92 (业余优秀),"非常积极（业余），满场飞奔，拼抢凶狠（在规则内），能带动全队士气。"
精神属性,积极性 (Aggression/Work Rate),93-99 (业余顶尖),"永动机（业余），斗志昂扬，从不惜力，覆盖范围大，是球队的精神支柱。"
精神属性,比赛阅读 (Anticipation/Positioning),60-68 (业余初学),"对场上局势判断差，经常失位，攻防两端都找不到正确位置。"
精神属性,比赛阅读 (Anticipation/Positioning),69-76 (业余入门),"能理解一些基本跑位，但预判能力弱，容易被对方的战术变化迷惑。"
精神属性,比赛阅读 (Anticipation/Positioning),77-84 (业余平均),"具备一定的比赛阅读能力，能根据场上情况调整自己的位置，做出合理预判。"
精神属性,比赛阅读 (Anticipation/Positioning),85-92 (业余优秀),"球商较高（业余），能很好地阅读比赛，预判对方意图，攻防选位出色。"
精神属性,比赛阅读 (Anticipation/Positioning),93-99 (业余顶尖),"场上教练（业余），对局势洞若观火，总能出现在最需要的位置，预判神准。"
精神属性,勇敢/决心 (Bravery/Determination),60-68 (业余初学),"害怕身体对抗，遇到困难容易放弃，缺乏斗志。"
精神属性,勇敢/决心 (Bravery/Determination),69-76 (业余入门),"对抗中略显犹豫，决心一般，逆风球时容易泄气。"
精神属性,勇敢/决心 (Bravery/Determination),77-84 (业余平均),"具备正常的勇敢和决心，敢于进行身体对抗，在落后时能保持一定的斗志。"
精神属性,勇敢/决心 (Bravery/Determination),85-92 (业余优秀),"非常勇敢（业余），拼劲十足，不畏惧任何对抗，逆境中能展现顽强意志。"
精神属性,勇敢/决心 (Bravery/Determination),93-99 (业余顶尖),"斗士精神（业余），极其勇敢且意志坚定，永不放弃，能激励队友。"
精神属性,冷静 (Composure),60-68 (业余初学),"在压力下容易慌乱，处理球失误频频，错失良机。"
精神属性,冷静 (Composure),69-76 (业余入门),"面对逼抢或重要机会时显得紧张，处理球不够稳健，容易受情绪影响。"
精神属性,冷静 (Composure),77-84 (业余平均),"在一般压力下能保持冷静，做出相对合理的处理球选择。"
精神属性,冷静 (Composure),85-92 (业余优秀),"比较冷静（业余），即使在关键时刻或对方紧逼下，也能稳定发挥，处理球合理。"
精神属性,冷静 (Composure),93-99 (业余顶尖),"大心脏（业余），泰山崩于前而色不变，越是关键时刻越能展现超强心理素质。"
精神属性,专注度 (Concentration),60-68 (业余初学),"比赛中经常走神，容易犯低级失误，对教练部署执行差。"
精神属性,专注度 (Concentration),69-76 (业余入门),"专注度一般，偶尔会因为注意力不集中导致失误，尤其在比赛末段。"
精神属性,专注度 (Concentration),77-84 (业余平均),"大部分时间能保持专注，但偶尔也会有分心的情况。"
精神属性,专注度 (Concentration),85-92 (业余优秀),"专注度很高（业余），全场比赛都能保持警惕，不易犯错，能很好执行战术。"
精神属性,专注度 (Concentration),93-99 (业余顶尖),"高度专注（业余），比赛中几乎不会犯由于注意力不集中导致的错误，非常可靠。"
精神属性,团队合作 (Teamwork),60-68 (业余初学),"踢球比较独，不注重配合，游离于团队之外。"
精神属性,团队合作 (Teamwork),69-76 (业余入门),"配合意识一般，有时会选择单干，与队友默契不足。"
精神属性,团队合作 (Teamwork),77-84 (业余平均),"具备团队合作精神，愿意与队友配合，理解整体战术的重要性。"
精神属性,团队合作 (Teamwork),85-92 (业余优秀),"团队意识强（业余），乐于为队友创造机会，积极参与整体攻防。"
精神属性,团队合作 (Teamwork),93-99 (业余顶尖),"模范队友（业余），将团队利益置于个人之上，是球队的粘合剂。"
精神属性,大局观/视野 (Vision),60-68 (业余初学),"只看脚下球，缺乏观察，无法发现潜在的传球线路和机会。"
精神属性,大局观/视野 (Vision),69-76 (业余入门),"视野有限，多进行安全传球，难以发现有穿透力的传球机会。"
精神属性,大局观/视野 (Vision),77-84 (业余平均),"具备一定的大局观，能观察到一些明显的传球机会，但缺乏创造性。"
精神属性,大局观/视野 (Vision),85-92 (业余优秀),"视野开阔（业余），能发现并传出一些有威胁的球，具备一定的组织能力。"
精神属性,大局观/视野 (Vision),93-99 (业余顶尖),"中场指挥官潜质（业余），视野极佳，传球富有想象力，总能找到最佳出球点。"
精神属性,领导力 (Leadership),60-68 (业余初学),"在场上沉默寡言，缺乏影响力，无法带动队友。"
精神属性,领导力 (Leadership),69-76 (业余入门),"偶尔能鼓励队友，但在困境中缺乏号召力。"
精神属性,领导力 (Leadership),77-84 (业余平均),"在队内有一定威信，能通过言语或行动影响部分队友。"
精神属性,领导力 (Leadership),85-92 (业余优秀),"具备较强的领导能力（业余），能激励全队，在关键时刻能站出来承担责任。"
精神属性,领导力 (Leadership),93-99 (业余顶尖),"天生的领袖（业余），是球队的精神核心和场上队长的不二人选，能凝聚全队。"
身体属性,速度 (Pace/Acceleration),60-68 (业余初学),"启动慢，绝对速度也慢，很容易被对手在速度上压制。"
身体属性,速度 (Pace/Acceleration),69-76 (业余入门),"速度平平，爆发力一般，在业余层面没有明显的速度优势。"
身体属性,速度 (Pace/Acceleration),77-84 (业余平均),"具备平均水准的速度和爆发力，能跟上业余比赛的节奏。"
身体属性,速度 (Pace/Acceleration),85-92 (业余优秀),"速度较快（业余），爆发力好，能利用速度摆脱或追赶对手。"
身体属性,速度 (Pace/Acceleration),93-99 (业余顶尖),"快如闪电（业余），无论是启动还是最高速度都远超常人，是巨大的战术优势。"
身体属性,耐力 (Stamina),60-68 (业余初学),"体力差，跑几步就喘，难以支撑全场比赛。"
身体属性,耐力 (Stamina),69-76 (业余入门),"体力一般，比赛后半段容易出现体能瓶颈，影响发挥。"
身体属性,耐力 (Stamina),77-84 (业余平均),"具备支撑一场业余比赛所需的基本耐力，但高强度对抗下消耗快。"
身体属性,耐力 (Stamina),85-92 (业余优秀),"耐力充沛（业余），能保持较高强度的跑动和拼抢，覆盖范围大。"
身体属性,耐力 (Stamina),93-99 (业余顶尖),"跑不死（业余），体能储备惊人，全场飞奔不知疲倦。"
身体属性,强壮 (Strength),60-68 (业余初学),"身体单薄，对抗中一碰就倒，完全无法与对手抗衡。"
身体属性,强壮 (Strength),69-76 (业余入门),"身体对抗能力一般，在激烈拼抢中容易吃亏。"
身体属性,强壮 (Strength),77-84 (业余平均),"具备一定的身体强壮度，能进行正常的身体对抗，不落下风。"
身体属性,强壮 (Strength),85-92 (业余优秀),"身体强壮（业余），对抗能力出色，能利用身体护球或在拼抢中占据优势。"
身体属性,强壮 (Strength),93-99 (业余顶尖),"人形野兽（业余），力量惊人，身体对抗中优势巨大，对方难以撼动。"
身体属性,敏捷/平衡 (Agility/Balance),60-68 (业余初学),"动作笨拙，转身慢，容易在对抗或变向时失去平衡。"
身体属性,敏捷/平衡 (Agility/Balance),69-76 (业余入门),"敏捷性和平衡感一般，做急停急转动作时略显吃力。"
身体属性,敏捷/平衡 (Agility/Balance),77-84 (业余平均),"具备正常的敏捷和平衡能力，能较好地完成各种技术动作。"
身体属性,敏捷/平衡 (Agility/Balance),85-92 (业余优秀),"身体灵活（业余），平衡感好，能快速完成变向和转身，不易倒地。"
身体属性,敏捷/平衡 (Agility/Balance),93-99 (业余顶尖),"非常敏捷协调（业余），动作轻盈且稳定，即使在高速对抗下也能保持平衡。"
身体属性,弹跳 (Jumping Reach),60-68 (业余初学),"几乎跳不起来，争抢高空球完全处于劣势。"
身体属性,弹跳 (Jumping Reach),69-76 (业余入门),"弹跳能力一般，起跳高度有限，对高空球控制力弱。"
身体属性,弹跳 (Jumping Reach),77-84 (业余平均),"具备平均的弹跳能力，能参与高空球的争夺。"
身体属性,弹跳 (Jumping Reach),85-92 (业余优秀),"弹跳出色（业余），能跳得较高，在争顶头球时有明显优势。"
身体属性,弹跳 (Jumping Reach),93-99 (业余顶尖),"滞空能力强（业余），弹簧腿，争顶高空球的绝对强点。"
身体属性,体能恢复 (Natural Fitness),60-68 (业余初学),"比赛或训练后恢复很慢，容易感到疲劳，小伤病不断。"
身体属性,体能恢复 (Natural Fitness),69-76 (业余入门),"体能恢复速度一般，连续比赛或高强度训练后需要较长时间调整。"
身体属性,体能恢复 (Natural Fitness),77-84 (业余平均),"具备正常的体能恢复能力，能适应业余球队的比赛和训练节奏。"
身体属性,体能恢复 (Natural Fitness),85-92 (业余优秀),"体能恢复快（业余），即使在高强度比赛后也能较快恢复，出勤率高。"
身体属性,体能恢复 (Natural Fitness),93-99 (业余顶尖),"恢复能力极强（业余），如同铁人，伤病少，能持续保持良好状态。"
守门员属性,反应 (Reflexes),60-68 (业余初学),"对射门反应迟钝，几乎无法做出有效扑救动作。"
守门员属性,反应 (Reflexes),69-76 (业余入门),"反应速度一般，对一些角度刁钻或快速的射门办法不多。"
守门员属性,反应 (Reflexes),77-84 (业余平均),"具备正常的门线反应速度，能扑出一些有威胁的射门。"
守门员属性,反应 (Reflexes),85-92 (业余优秀),"反应敏捷（业余），门线技术出色，常能做出精彩扑救。"
守门员属性,反应 (Reflexes),93-99 (业余顶尖),"神扑救星（业余），反应速度极快，能化解各种近距离和快速射门。"
守门员属性,手型/控制球 (Handling),60-68 (业余初学),"经常黄油手，接不住球或容易脱手给对方补射机会。"
守门员属性,手型/控制球 (Handling),69-76 (业余入门),"接球不够稳健，面对力量较大或有旋转的射门容易脱手。"
守门员属性,手型/控制球 (Handling),77-84 (业余平均),"具备一定的接球能力，能稳妥处理大部分常规射门。"
守门员属性,手型/控制球 (Handling),85-92 (业余优秀),"手型出色（业余），接球稳健，很少出现脱手失误，能牢牢控制住球。"
守门员属性,手型/控制球 (Handling),93-99 (业余顶尖),"铜墙铁壁之手（业余），接球极其稳固，几乎从不脱手，让前锋绝望。"
守门员属性,一对一 (One On Ones),60-68 (业余初学),"面对单刀球不知所措，容易被轻易晃过或打穿。"
守门员属性,一对一 (One On Ones),69-76 (业余入门),"处理单刀球能力一般，封堵角度和出击时机掌握不佳。"
守门员属性,一对一 (One On Ones),77-84 (业余平均),"具备一定的一对一防守能力，能给对方前锋制造一些麻烦。"
守门员属性,一对一 (One On Ones),85-92 (业余优秀),"一对一防守稳健（业余），出击果断，封堵面积大，能有效化解单刀威胁。"
守门员属性,一对一 (One On Ones),93-99 (业余顶尖),"单刀终结者（业余），面对单刀冷静且高效，成功率极高。"
守门员属性,出击 (Rushing Out),60-68 (业余初学),"不愿或不敢出击，或者出击时机完全错误，造成更大混乱。"
守门员属性,出击 (Rushing Out),69-76 (业余入门),"出击犹豫，对时机判断不准，有时会冒失出击导致失球。"
守门员属性,出击 (Rushing Out),77-84 (业余平均),"具备一定的出击意识和能力，能判断部分出击时机，但不够果断。"
守门员属性,出击 (Rushing Out),85-92 (业余优秀),"出击果断且合理（业余），能有效控制禁区，破坏对方传中或单刀球。"
守门员属性,出击 (Rushing Out),93-99 (业余顶尖),"清道夫门将（业余），出击范围大且判断精准，如同后防线的额外一道屏障。"
守门员属性,大脚/手抛球 (Kicking/Throwing),60-68 (业余初学),"开球距离短且无准星，手抛球也软弱无力，难以发动进攻。"
守门员属性,大脚/手抛球 (Kicking/Throwing),69-76 (业余入门),"开球能力一般，距离和落点控制不佳，手抛球也缺乏穿透性。"
守门员属性,大脚/手抛球 (Kicking/Throwing),77-84 (业余平均),"能将球开到中场附近，手抛球也能找到近距离队友，但精度一般。"
守门员属性,大脚/手抛球 (Kicking/Throwing),85-92 (业余优秀),"开球有准头且距离不错（业余），手抛球能快速策动反击。"
守门员属性,大脚/手抛球 (Kicking/Throwing),93-99 (业余顶尖),"精确制导（业余），无论是大脚还是手抛球都能准确找到队友，是进攻发起点。"
守门员属性,高空球控制 (Aerial Ability),60-68 (业余初学),"害怕高空球，选位差，几乎无法摘到或击出传中球。"
守门员属性,高空球控制 (Aerial Ability),69-76 (业余入门),"处理高空球能力一般，摘球或击球不够果断，容易被对方冲顶。"
守门员属性,高空球控制 (Aerial Ability),77-84 (业余平均),"具备一定的高空球控制能力，能处理一些常规的传中球。"
守门员属性,高空球控制 (Aerial Ability),85-92 (业余优秀),"高空球控制较好（业余），出击时机和摘球点判断准确，能有效化解传中。"
守门员属性,高空球控制 (Aerial Ability),93-99 (业余顶尖),"禁区制空霸主（业余），高空球处理滴水不漏，给队友极大安全感。"
守门员属性,指挥/交流 (Communication),60-68 (业余初学),"在场上沉默，不与后卫交流，防线缺乏组织。"
守门员属性,指挥/交流 (Communication),69-76 (业余入门),"偶尔会喊话，但指挥不够清晰有效，难以组织防线。"
守门员属性,指挥/交流 (Communication),77-84 (业余平均),"能与后卫进行基本的沟通，提醒队友注意防守位置。"
守门员属性,指挥/交流 (Communication),85-92 (业余优秀),"指挥防线清晰有力（业余），能有效地组织后防，减少防守混乱。"
守门员属性,指挥/交流 (Communication),93-99 (业余顶尖),"后防统帅（业余），嗓门大且指挥明确，是后防线的定海神针。"
其他,逆足能力 (Weaker Foot Ability),1-2 (几乎不用),"完全避免使用非惯用脚，即使在最简单的情况下。如果被迫使用，几乎总是失误。"
其他,逆足能力 (Weaker Foot Ability),3-4 (偶尔可用),"在没有压力的情况下，可以尝试用非惯用脚进行简单的短传或停球，但非常不可靠，容易失误。"
其他,逆足能力 (Weaker Foot Ability),5-6 (比较可靠),"能够比较自信地使用非惯用脚完成大部分基础动作，如中短距离传球、停球和偶尔的射门。是一个有用的补充。"
其他,逆足能力 (Weaker Foot Ability),7 (接近双足),"使用非惯用脚非常自如，在很多情况下几乎和惯用脚没有明显差别，技术动作稳定可靠。" 